"","Group.1","scode","year","X","country","mediascore","fp","fp2","fp.d","fp2.d","lfp","lfp2","lfp.d","lfp2.d","l2fp","ccode","cname","warl","onset","sovdom","lmtnest","ncontig","ethfrac","relfrac","oil","fdistock2","newconflictinyearv412","onset5v412","govonlyv412","terronlyv412","bothgovterrv412","fpistockgdp","trade","internet","gdppc","polity2","durable","interreg","instab","pop","kaopen","occupied","pcprod","nwstate","fdiinward","fdiinward2","fpistock","fpistock2","openk","openk2","rgdpch","rgdpch2","lpolity2","dpolity2","lrgdpch","lrgdpch2","drgdpch","drgdpch2","lopenk","lopenk2","dopenk","dopenk2","lfdiinward","lfdiinward2","dfdiinward","dfdiinward2","lfpistock","lfpistock2","dfpistock","dfpistock2","economic.globalization","actual.flows","restrictions","political.globalization","information.flows","overall.globalization.index","leconglob","ldeconglob","lrestrict","ldrestrict","lflows","ldflows","lpolglob","ldpolglob","linfoglob","ldinfoglob","loverallglob","ldoverallglob","year1","year2","year3","Country","Year","FHscore","dem"
"1",2,2,1985.5,38.5,"USA",1,1,1,0,0,1,1,0,0,1,2,NA,0,0,0,3.21486806869507,1,0.356950104236603,0.596000015735626,0,12.0378615288507,0.0192307692307692,0.0192307692307692,0.192307692307692,0,0,26.6828398250398,18.2525602670816,1.36319386457129,29355.7310321514,10,176.5,0,0,245.818844721867,2.43900918960571,0,671.48794425802,0,12.0378615288507,2.24882962324007,26.6828398250398,2.9631654492928,18.2525602670816,2.84472840054299,29355.7310321514,10.2402047286886,10,0,29105.0553385417,10.2321938953394,528.626474417892,0.0200197507573935,18.0082248051961,2.83335625557234,0.414544049431296,0.022860269435764,11.7643488674629,2.22591097583669,0.527560821393641,0.0542585339319435,25.3459217025013,2.92780959048774,1.82808438743033,0.0583382323028411,58.09805375,33.179884,83.01623175,90.04823625,71.45369925,69.670081,58.028,0.385912631578947,83.1492994871795,0.0838763157894739,32.9067087179487,0.687948947368421,89.9860946153846,0.250569736842105,71.3345264102564,0.250349473684211,69.5365305128205,0.442399473684211,1985.5,3942435.5,7828600153,NA,2002,84.7894736842105,"Greater than median democracy"
"2",20,20,1985.5,103.5,"CAN",1,1,1,0,0,1,1,0,0,1,20,NA,0,0,0,2.79728102684021,0,0.754993975162506,0.631200015544891,0,22.0859665984199,0,0,0,0,0,33.5057338201083,55.4233271525456,1.30522635318691,25425.49216872,10,97.5,0,0,26.2965958668635,2.43900918960571,0,1430.71126734957,0,22.0859665984199,3.07644681712548,33.5057338201083,3.44695258759708,55.4233271525456,3.98247470791391,25425.49216872,10.1094396922892,10,0,25291.3530752145,10.1040995395369,361.582318474265,0.016617440174537,55.2663380491967,3.97919120548017,0.555454029756434,0.0116016895180601,21.8003465024436,3.06490860141884,0.672516601841624,0.0383466884957756,32.8849188486735,3.43234016101364,0.880594216141046,0.0222647147217508,72.19583575,69.5837545,74.80792425,91.26327075,88.59532225,81.50307675,72.0970730769231,0.371038947368421,74.6759423076923,0.300021052631579,69.518211025641,0.442057105263158,91.1889635897436,0.352425789473684,88.4869735897436,0.216095526315789,81.3999005128205,0.409215263157895,1985.5,3942435.5,7828600153,NA,2002,83.4210526315789,"Greater than median democracy"
"3",31,31,1992,150,"BHS",1,1,1,0,0,1,1,0,0,1,31,NA,0,0,0,NA,1,NA,NA,0,NA,0,0,0,0,0,NA,110.858487970689,1.25969259168704,18815.8618289263,NA,NA,NA,NA,0.264058742767725,-1.22031822034291,0,NA,0.0512820512820513,NA,NA,NA,NA,110.858487970689,4.69624341599914,18815.8618289263,9.8224977963813,NA,NA,18807.9094880757,9.8215533111592,-412.109066611842,-0.0157462542916736,111.156259941332,4.69869208235012,-1.30112862586975,-0.0104189647611454,NA,NA,NA,NA,NA,NA,NA,NA,44.0366056756757,79.0444302702703,8.90147486486486,36.9748964864865,63.743892972973,49.4894140540541,44.100515,-0.134722571428571,8.76794972222222,0.272681228571429,79.3050586111111,-0.540649428571429,36.6629680555556,0.836519714285714,63.7461322222222,-0.0552285714285712,49.4343655555556,0.303134,1992,3968190.66666667,7905140448,NA,2002,86.9473684210526,NA
"4",40,40,1985.5,208.5,"CUB",4,0,0,0,0,0,0,0,0,0,40,NA,0.0192307692307692,0,0,1.69410705566406,0,0.0357236005365849,0.254999995231628,0,NA,0,0,0.0192307692307692,0,0,0,55.2503410066877,0.543915892750473,12274.5862746466,-6.94230769230769,24.5192307692308,0,0.0384615384615385,9.63126143542203,-1.86000001430511,0,NA,0,NA,NA,0,0,55.2503410066877,3.92481973568735,12274.5862746466,9.3830543844575,-6.94117647058824,-0.0588235294117647,12098.1296803544,9.37096676226575,295.227955887957,0.0236278416761771,55.6443497727557,3.93113193194124,-0.919769752316359,-0.0164700029825894,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,56.4445435,32.1314885,40.094374,NA,NA,NA,NA,NA,NA,56.2507715384615,0.517030263157895,31.6800630769231,0.653841315789474,39.8750743589744,0.409401842105263,1985.5,3942435.5,7828600153,NA,2002,6,"Less than median democracy"
"5",41,41,1985.5,273.5,"HTI",3.34615384615385,0.211538461538462,0,0.0192307692307692,0,0.192307692307692,0,0.0192307692307692,0,0.173076923076923,41,NA,0.0961538461538462,0.0192307692307692,0,2.79728102684021,0,0.0135912001132965,0.332800000905991,0,4.95191598222369,0.0192307692307692,0.0384615384615385,0.0576923076923077,0,0,NA,39.3549242753249,0.414276709537374,2608.09573129507,-4.42307692307692,7.73076923076923,0.0384615384615385,0.269230769230769,5.64734011888504,0.88347350018365,0,NA,0,4.95191598222369,1.61034745359352,NA,NA,39.3549242753249,3.60368536098249,2608.09573129507,7.85858905574581,-4.50980392156863,0.156862745098039,2616.02858838848,7.86174155939624,-11.7838589537377,-0.00472878524868103,38.7780351825789,3.59138784367527,0.949548983106426,0.0238787002192184,4.7885151520008,1.58772753952176,0.284179268813715,0.0618966812325744,NA,NA,NA,NA,23.1875805,16.494749025,32.27017075,42.1254075,28.0862605,25.15135625,22.6518756410256,0.757533947368421,31.1531012820513,1.67685894736842,16.3874436153846,0.0800963157894737,41.9849682051282,0.288029736842105,27.4786417948718,0.801433684210526,24.8590061538462,0.426364210526316,1985.5,3942435.5,7828600153,NA,2002,38.4210526315789,"Less than median democracy"
"6",42,42,1985.5,338.5,"DOM",1.61538461538462,0.980769230769231,0.403846153846154,0.0192307692307692,0,0.961538461538462,0.403846153846154,0.0192307692307692,0,0.942307692307692,42,NA,0.0192307692307692,0.0192307692307692,0,2.85647010803223,0,0.0369887985289097,0.0949999988079071,0,8.43728907193456,0.0192307692307692,0.0192307692307692,0.0192307692307692,0,0,4.82097101211548,59.5078556354229,0.679433883061275,4495.84070763221,3.78846153846154,7.05769230769231,0.0576923076923077,0.153846153846154,6.60777141956183,-0.898016157604399,0,NA,0,8.43728907193456,1.43320605196145,4.82097101211548,1.57827078425514,59.5078556354229,4.04975201728641,4495.84070763221,8.34089008400731,3.70588235294118,0.333333333333333,4404.50855928309,8.32557572844693,123.860863779105,0.0229698708642674,59.4901502272662,4.04874385257577,0.313778895957797,0.00603424230606219,7.71386269098375,1.3787460666486,0.929213919290682,0.0894162304826421,4.66675069332123,1.54785155870883,0.208296537399292,0.030932828753692,35.88114925,45.740033,26.02226875,52.159174,40.923066,40.40533925,35.3383512820513,0.927492105263158,25.2330994871795,1.06402763157895,45.4436064102564,0.790956578947368,51.9853651282051,0.394201578947369,40.4384987179487,0.615428157894737,40.0294192307692,0.622475789473684,1985.5,3942435.5,7828600153,NA,2002,64.8421052631579,"Greater than median democracy"
"7",51,51,1986.5,390.5,"JAM",1.06,1,0.94,0,0,1,0.938775510204082,0,0,1,51,NA,0,0,0,1.33500099182129,0,0.0457667000591755,0.503799974918365,0,32.4612630435399,0,0,0,0,0,5.48765133321285,89.1384259033203,0.745239890159647,4597.97995117187,9.62,27.5,0,0,2.26179458379745,0.183225254217784,0,NA,0.04,32.4612630435399,3.3467909094635,5.48765133321285,1.13618251509034,89.1384259033203,4.4757910547215,4597.97995117187,8.42260290148965,9.63265306122449,-0.0204081632653061,4607.76388113839,8.4246302941883,-9.16147161989796,-0.00211134977640477,89.2456366091358,4.47673683091896,0.325438051807637,0.0043029208892976,31.4153077893141,3.32268170838056,1.64170900205287,0.0520517671681694,4.20921184221903,0.995588100939196,1.76173169272287,0.231792766239824,60.92632725,70.59191725,51.260739,51.045947,58.24711,52.67026175,60.7302256410256,0.613790789473684,51.0503228205128,0.621458421052632,70.41013,0.606123684210526,50.4991625641026,1.22606868421053,58.1255476923077,0.111968421052632,52.448007948718,0.581681315789474,1986.5,3946390.5,7840332105.5,NA,2002,84.7368421052632,"Greater than median democracy"
"8",52,52,1986.5,441.5,"TTO",1.12,1,0.88,0,0,1,0.877551020408163,0,0,1,52,NA,0,0,0,0,0,0.558431506156921,0.772599995136261,1,49.4424300534385,0.02,0.02,0.02,0,0,19.1274509429932,90.7668298339844,0.976511583704222,18547.2688085938,8.86,24.5,0,0.02,1.15198164582252,0.695908958358424,0,NA,0.04,49.4424300534385,3.40177681807629,19.1274509429932,3.00208460187655,90.7668298339844,4.48741817136008,18547.2688085938,9.78145500706129,8.83673469387755,0.0408163265306122,18528.1105907207,9.77949587168419,17.6041932397959,0.0009240336132425,89.5370551907286,4.47660118303254,0.429885552853954,0.00306557454215518,48.5045955122971,3.3752972119537,2.14374746927401,0.109449772417127,NA,NA,NA,NA,59.48462025,74.28396925,48.1960385,43.477309,67.552381,51.59431425,59.0571676923077,0.688836052631579,47.6040966666667,0.933198947368421,74.0721617948718,0.368475263157895,43.2840830769231,0.431563157894737,67.5621751282051,0.0314868421052632,51.4213802564103,0.339795,1986.5,3946390.5,7840332105.5,NA,2002,74,"Greater than median democracy"
"9",53,53,1989,490,"BRB",1,1,1,0,0,1,1,0,0,1,53,NA,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,6.85116467970174,107.680984157986,1.15465961661808,15788.5815321181,NA,NA,NA,NA,0.257257469495138,-1.08547067367717,0,NA,0.0222222222222222,NA,NA,6.85116467970174,1.56537879005585,107.680984157986,4.65874864024129,15788.5815321181,9.61531507524749,NA,NA,15521.9679036458,9.59527356755931,266.613628472222,0.020041507688183,108.652534145779,4.66730833724178,-0.971549987792969,-0.00855969700048814,NA,NA,NA,NA,6.85116467970174,1.56537879005585,2.3471008002758,0.0845288514754571,53.959982,73.67411225,34.2458515,35.82317275,67.42896475,47.82887625,53.5796479487179,0.435160526315789,33.9086525641026,0.424027894736842,73.2506425641026,0.446293157894737,35.6583317948718,0.281920789473684,66.8829212820513,0.800808421052631,47.6053728205128,0.317761315789474,1989,3956289.66666667,7869731103,NA,2002,82.8947368421053,NA
"10",54,54,2007.5,542.5,"DMA",1,1,1,0,0,1,1,0,0,1,54,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,89.8919124603271,3.7352239448187,9875.3232421875,NA,NA,NA,NA,0.0683323759585619,-0.0907917208969593,0,NA,0,NA,NA,NA,NA,89.8919124603271,4.4977047216818,9875.3232421875,9.19270463069337,NA,NA,9696.47865513393,9.17492657545983,409.098214285714,0.0425059601500499,90.1333879743304,4.50028755042577,0.743124825613839,0.00868397223704623,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.13975,NA,33.1830433333333,52.9108733333333,40.3605566666667,NA,NA,NA,NA,81.3173483333333,-0.479125000000001,32.7847566666667,0.482441666666666,52.9519533333333,0.0686716666666669,40.1993283333333,0.236844999999999,2007.5,4030061.5,8090369540,NA,2007.5,78.875,NA
