"","scode","interp","fp","lfp","fp2","lfp2","year","year1","year2","year3","lopenk","ldopenk","lfdiinward","lfdiinflow","lfpi","lfpistock","lpolity2","ldpolity2","lrgdpch","lgrgdpch","economic.globalization","leconglob","ldeconglob","lrestrict","ldrestrict","lpolglob","ldpolglob","linfoglob","ldinfoglob","lflows","ldflows","loverallglob","ldoverallglob","actual.flows","restrictions","political.globalization","information.flows","overall.globalization.index"
"17","100",0,1,1,0,0,"1964",-0.58755076984013,-0.587384742492252,-0.587195619374499,-0.440322791152353,-0.0680047248373725,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.235775718634732,-0.102529567973791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","100",0,1,1,0,0,"1965",-0.556545527693313,-0.556636128576105,-0.556703440946929,-0.426224786784718,0.0244392538823363,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.227186235977206,0.170358904554245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","100",0,1,1,0,0,"1966",-0.525540285546497,-0.525871862527652,-0.526180211423846,-0.442285767040745,-0.0846782307756177,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.231062821263314,-0.245794631539584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","100",0,1,1,0,0,"1967",-0.494535043399681,-0.495091944346892,-0.495625915003165,-0.426010130192538,0.0323180927011708,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.226255866659368,0.0384207363729281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","100",0,1,1,0,0,"1968",-0.463529801252865,-0.464296374033825,-0.465040535882804,-0.449637201661491,-0.112052920346552,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.224573123112516,-0.0660760977275074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","100",0,1,1,0,0,"1969",-0.432524559106048,-0.433485151588452,-0.434424058260676,-0.430827640940933,0.0414860206906559,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.218316867541797,0.0796025044753747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","100",0,1,1,0,0,"1970",-0.401519316959232,-0.402658277010773,-0.403776466334698,-0.434231838578297,-0.0388850351344266,NA,NA,NA,NA,0.478136660660271,-0.0183385837150786,-0.20980913439061,0.143333639499921,-0.591749431054153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.573801913920861,-0.457408888478565,-0.0993794025235092,0.204283543159025,-0.349978610567443
"24","100",0,1,1,0,0,"1971",-0.370514074812416,-0.371815750300787,-0.373097744302786,-0.428478681002616,-0.00575303220277346,-0.128858534224278,-0.145221720700771,-0.0943338270158248,-0.164898295076576,0.478136660660271,-0.0183385837150786,-0.201777527648125,0.118763146113682,-0.605752607599697,-0.582188987979813,NA,-0.448133400532047,NA,-0.0933877789116142,NA,0.21728873554641,NA,-0.565193555248092,NA,-0.340553751279466,NA,-0.598426079377661,-0.457408888478565,-0.0653522968557507,0.204283543159025,-0.344514050119761
"25","100",0,1,1,0,0,"1972",-0.3395088326656,-0.340957571458495,-0.342387876362855,-0.416609122932465,0.0163765668353077,-0.127413453183544,-0.149978915366032,-0.0981464779030643,-0.16767781736838,0.478136660660271,-0.0183385837150786,-0.192243862584819,0.153284641257601,-0.608514408313872,-0.596211084506511,-0.26050501731816,-0.448133400532047,-0.101286902774213,-0.0591035291656245,0.0687747308886939,0.21728873554641,-0.067663709022267,-0.589825176845677,-0.241125351107182,-0.335074130176375,-0.136970983891735,-0.603282667776026,-0.457408888478565,-0.0265579537138331,0.204283543159025,-0.33112928413586
"26","100",0,1,1,0,0,"1973",-0.308503590518783,-0.310083740483896,-0.311646846712822,-0.435128154937126,-0.0935716476899139,-0.126115116753864,-0.18560754802563,-0.0931505637875973,-0.168586325624394,0.478136660660271,-0.0183385837150786,-0.182991672292359,0.134356066372659,-0.609253401736083,-0.598976616746693,-0.163550750401606,-0.448133400532047,-0.101286902774213,-0.0200160157580601,0.0949273295961861,0.21728873554641,-0.067663709022267,-0.594683235807863,-0.125385651601795,-0.321652474976929,-0.0482194516643466,-0.604582177498925,-0.457408888478565,0.0169829958255719,0.204283543159025,-0.316143876132388
